,Month,Decade,Type,Country,Area,Location,Activity,Fatal,Time
1166,Dec-Feb,2000,Unprovoked,SOUTH AFRICA,Eastern Cape Province,"Second Beach, Port St. John's",unknown,Y,unknown
1167,Dec-Feb,2000,Invalid,BRAZIL,Maranhão,Olho d'Água ,underwater,unknown,7-11
1168,Dec-Feb,2000,Boat,AUSTRALIA,Victoria,Off Tower Hill,sports table,N,12-17
1169,Dec-Feb,2000,Unprovoked,NEW ZEALAND,South Island,Karitane Beach,sports table,N,7-11
1170,Dec-Feb,2000,Unprovoked,SOUTH AFRICA,Western Cape Province,"Shark Alley, off Gansbaai",fishing,Y,unknown
1171,Dec-Feb,2000,Unprovoked,AUSTRALIA,New South Wales,"Windang,       Lake Illawara",sports table,N,unknown
1172,Dec-Feb,2000,Unprovoked,AUSTRALIA,Tasmania,Binalong Bay,low water,N,12-17
1173,Dec-Feb,2000,Unprovoked,AUSTRALIA,New South Wales,Fingal Beach,fishing,N,unknown
1174,Dec-Feb,2000,Boat,NEW ZEALAND,North Island,Hawkes Bay,unknown,N,7-11
1175,Dec-Feb,2000,Unprovoked,ECUADOR,Galapagos Islands,Isla Isabella,unknown,N,unknown
1176,Dec-Feb,2000,Unprovoked,NEW ZEALAND,North Island,Haumoana ,sports table,N,unknown
1177,Dec-Feb,2000,Unprovoked,CUBA,Guantanamo Province,Guantanamo,sports boat,N,7-11
1178,Dec-Feb,2000,Invalid,AUSTRALIA,Western Australia,Port Kennedy Beach,underwater,unknown,7-11
1179,Dec-Feb,2000,Boating,AUSTRALIA,Tasmania,near Schouten Island,sports boat,N,12-17
1180,Dec-Feb,2000,Unprovoked,AUSTRALIA,New South Wales,Seal Rocks,fishing,N,unknown
1181,Dec-Feb,2000,Boating,AUSTRALIA,New South Wales,"Long Reef, north of Sydney",fishing,N,18-22
1182,Dec-Feb,2000,Unprovoked,AUSTRALIA,Western Australia,Port Kennedy Beach,fishing,Y,7-11
1183,Dec-Feb,2000,Boating,USA,California,"Dillon Beach, Marin County",fishing,N,unknown
1184,Sep-Nov,2000,Unprovoked,NEW ZEALAND,North Island,Maraetai,underwater,N,7-11
1185,Sep-Nov,2000,Provoked,SOUTH AFRICA,Western Cape Province,Plettenberg Bay,unknown,N,unknown
1186,Sep-Nov,2000,Boating,AUSTRALIA,New South Wales,Mowarry Point,unknown,N,unknown
1187,Sep-Nov,2000,Unprovoked,MOZAMBIQUE,Inhambane Province,Chidenguele,fishing,Y,unknown
1188,Sep-Nov,2000,Unprovoked,EGYPT,Red Sea,Elphinstone Reef,fishing,N,unknown
1189,Sep-Nov,2000,Sea Disaster,PHILIPPINES,Batanes Provine,Luzon Strait,fishing,N,7-11
1190,Sep-Nov,2000,Unprovoked,ECUADOR,Galapagos Islands,Santa Cruz,underwater,N,12-17
1191,Sep-Nov,2000,Boating,AUSTRALIA,South Australia,North Haven,fishing,N,7-11
1192,Sep-Nov,2000,Sea Disaster,TAIWAN,unknown,50 miles off Kaohsiung,fishing,Y,unknown
1193,Sep-Nov,2000,Unprovoked,PHILIPPINES,Luzon,"off Paoay, Ilocos Norte Province",sports table,Y,12-17
1194,Sep-Nov,2000,Provoked,AUSTRALIA,New South Wales,"Oceanworld, Manley",fishing,N,12-17
1195,Sep-Nov,2000,Unprovoked,NEW CALEDONIA,unknown,unknown,fishing,N,12-17
1196,Sep-Nov,2000,Provoked,AUSTRALIA,Northern Territory,Darwin,sports table,N,7-11
1197,Sep-Nov,2000,Unprovoked,AUSTRALIA,New South Wales,Lake Macquarie,sports table,N,7-11
1198,Sep-Nov,2000,Unprovoked,USA,Florida,"Santa Rosa Beach, Walton County",low water,N,12-17
1199,Sep-Nov,2000,Unprovoked,CROATIA," Split-Dalmatia Count,","Smokvina Bay, Vis Island",low water,N,12-17
1200,Sep-Nov,2000,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",sports table,N,12-17
1201,Sep-Nov,2000,Unprovoked,USA,Florida,Bethune Beach,sports table,N,7-11
1202,Sep-Nov,2000,Provoked,AUSTRALIA,Northern Territory,Near Croker Island,sports table,N,12-17
1203,Sep-Nov,2000,Unprovoked,USA,Florida,"Ormond-by-the-Sea, Volusia County",sports table,N,12-17
1204,Sep-Nov,2000,Unprovoked,USA,Hawaii,"Ka'a'awa, Oahu",sports table,N,7-11
